,Timestamp,Autonomous System Number,Total Routes,New Routes,Withdrawals,Origin Changes,Route Changes,Maximum Path Length,Average Path Length,Maximum Edit Distance,Average Edit Distance,Announcements,Unique Prefixes Announced,Average MED,Average Local Preference,Total Communities,Unique Communities,Community Values,Total Updates,Average Updates per Peer,Max Updates from a Single Peer,Min Updates from a Single Peer,Std Dev of Updates,Top Peer 1 ASN,Top Peer 2 ASN,Top Peer 3 ASN,Top Peer 4 ASN,Top Peer 5 ASN,Total Prefixes Announced,Average Announcements per Prefix,Max Announcements for a Single Prefix,Min Announcements for a Single Prefix,Std Dev of Announcements,Top Prefix 1,Top Prefix 2,Top Prefix 3,Top Prefix 4,Top Prefix 5,Count of Unexpected ASNs in Paths,Unexpected ASN 1,Unexpected ASN 2,Unexpected ASN 3,Target Prefixes Withdrawn,Target Prefixes Announced,AS Path Changes,AS Path Prepending,Average Prefix Length,Max Prefix Length,Min Prefix Length
0,2021-10-04 07:00:00,32934,219,219,0,0,0,5,3.34703196347032,0,0.0,343,219,0,0,113,8,"['24724:1050', '58057:65010', '34927:630']",343,34.3,217,6,63.47763385634344,6881.0,34927.0,44393.0,49134.0,131477.0,219,1.5662100456621004,11,1,1.934769527574439,2a03:2880:f003::/48,2a03:2880:f103::/48,2a03:2880:f203::/48,2a03:2881:1::/48,2a03:2881:5::/48,0,0,0,0,0,0,0,6,45.17201166180758,48.0,20.0
1,2021-10-04 07:05:00,32934,346,140,0,0,206,6,4.07514450867052,4,2.4466019417475726,395,346,0,0,1361,44,"['48858:50477', '9002:64611', '65000:10000', '20485:21407', '65199:11140', '65199:10001', '13094:51177', '50952:21000', '20485:31910', '0:0', '65103:276', '65104:150', '34927:630', '13094:2302', '20485:22907', '0:21050', '65060:10012', '20485:33009', '9049:5077', '9002:9002', '13094:51577', '1299:35000', '9049:3078', '65101:1002', '0:21150', '65007:10840', '0:21100', '31210:32934', '20485:24108', '1299:30000', '9049:3077', '65101:1006', '0:21101', '0:21102', '48858:50277', '48858:50654', '48858:1399', '65199:10801', '65102:1000', '1299:37000', '20485:31809', '65060:10013']",395,197.5,362,33,164.5,49673.0,34927.0,0.0,0.0,0.0,346,1.1416184971098267,4,1,0.5588507345194121,2a03:2881::/32,2a03:2880::/32,2a03:2880::/36,2a03:2880:f2ff::/48,2a03:2880:f0ff::/48,0,0,0,0,0,4,0,0,37.50886075949367,48.0,17.0
2,2021-10-04 07:10:00,32934,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,[],0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
